"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>"
"SURVEY","2017","JUL THRU SEP","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","790","","9,000","","","","760","","8","","0.7","","0.8","","2.3","","0.9","","0.1","","82","","460","","5",""
"SURVEY","2017","JUL THRU SEP","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,300","","109,000","","","","17,500","","16","","8.6","","15","","13.7","","11.9","","2.9","","56.8","","11,500","","11",""
"SURVEY","2017","JUL THRU SEP","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,900","","136,000","","","","20,000","","15","","1.8","","11.6","","9.4","","4.7","","2.3","","39.8","","2,200","","2",""
"SURVEY","2017","JUL THRU SEP","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","24,000","","","","2,900","","12","","0.7","","18.1","","0.2","","4.8","","0.7","","71.1","","230","","1",""
"SURVEY","2017","JUL THRU SEP","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","320","","9,000","","","","580","","6","","2.8","","1.6","","34","","36","","35","","77.7","","310","","3",""
"SURVEY","2017","JUL THRU SEP","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","161,000","","","","18,500","","11","","6.9","","19.1","","2.2","","6.7","","2","","42.3","","23,000","","14",""
"SURVEY","2017","JUL THRU SEP","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","880","","47,000","","","","3,700","","8","","0.4","","9.2","","7.1","","6.6","","0.2","","15.1","","13,500","","29",""
"SURVEY","2017","JUL THRU SEP","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","280","","16,000","","","","420","","3","","0","","0.4","","0.8","","2.9","","1.9","","10.7","","110","","1",""
"SURVEY","2017","JUL THRU SEP","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,800","","8,500","","","","2,500","","29","","17.8","","3.1","","13.6","","3.3","","0.3","","74.3","","200","","2",""
"SURVEY","2017","JUL THRU SEP","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","59,000","","","","6,500","","11","","6.2","","13.6","","9.4","","19.8","","1.8","","45.1","","9,000","","15",""
"SURVEY","2017","JUL THRU SEP","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,100","","27,000","","","","3,300","","12","","3.3","","7.6","","20.3","","36.1","","1.8","","74.5","","2,900","","11",""
"SURVEY","2017","JUL THRU SEP","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","24,000","","490,000","","","","48,000","","10","","3.4","","8.1","","8.1","","11.9","","1.9","","42","","100,000","","20",""
"SURVEY","2017","JUL THRU SEP","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,100","","23,000","","","","1,800","","8","","4.7","","11.7","","6.7","","19.1","","7","","51.5","","1,800","","8",""
"SURVEY","2017","JUL THRU SEP","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","80","","4,400","","","","510","","12","","10","","4.7","","3.8","","23","","2","","22","","270","","6",""
"SURVEY","2017","JUL THRU SEP","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","101,000","","","","13,500","","13","","11.3","","6.4","","13.2","","10.6","","1.8","","54.4","","28,000","","28",""
"SURVEY","2017","JUL THRU SEP","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","380","","10,000","","","","1,070","","11","","2.3","","1.2","","6.7","","4.7","","1.3","","51.1","","650","","7",""
"SURVEY","2017","JUL THRU SEP","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","18,500","","","","1,500","","8","","2.7","","2.2","","3.7","","5.7","","0.9","","41.4","","1,600","","9",""
"SURVEY","2017","JUL THRU SEP","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","640","","14,500","","","","1,700","","12","","0.2","","5.2","","3","","11.8","","0.8","","26.4","","440","","3",""
"SURVEY","2017","JUL THRU SEP","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","159,000","","","","16,500","","10","","5","","27","","10.1","","13.4","","2.5","","47.4","","7,500","","5",""
"SURVEY","2017","JUL THRU SEP","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","800","","10,000","","","","1,700","","17","","2.1","","5.3","","6","","22.1","","6.9","","42.8","","960","","10",""
"SURVEY","2017","JUL THRU SEP","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","21,000","","115,000","","","","15,000","","13","","0.1","","18.3","","24","","23","","1.5","","33.7","","7,500","","7",""
"SURVEY","2017","JUL THRU SEP","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,500","","35,000","","","","6,500","","19","","0.5","","15.9","","16.7","","0.1","","9.1","","40.5","","3,200","","9",""
"SURVEY","2017","JUL THRU SEP","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","520","","7,500","","","","180","","2","","4.7","","7",""," (Z)","","9","","0.7","","16.8","","270","","4",""
"SURVEY","2017","JUL THRU SEP","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","430","","11,500","","","","1,200","","10","","1.5","","4.4","","0.5","","26.5","","1.6","","50.3","","430","","4",""
"SURVEY","2017","JUL THRU SEP","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,500","","92,000","","","","17,000","","18","","2","","0.7","","1.2","","2.7","","2.4","","23.7","","10,500","","11",""
"SURVEY","2017","JUL THRU SEP","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","440","","9,000","","","","930","","10","","1.4","","9.5","","0.6","","6.2","","3.8","","23.2","","1,900","","21",""
"SURVEY","2017","JUL THRU SEP","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","75,000","","","","12,500","","17","","18.5","","13","","21.8","","21","","12.1","","61.6","","9,000","","12",""
"SURVEY","2017","JUL THRU SEP","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","36,000","","","","5,500","","15","","9.3","","5.6","","4.4","","1.6","","5.2","","21.8","","3,500","","10",""
"SURVEY","2017","OCT THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","INVENTORY OF BEE COLONIES","INVENTORY OF BEE COLONIES: (LESS THAN 5 COLONIES)","960","","","","","","7,000","","18","","","","","","","","","","","","","","1,100","","3",""
"SURVEY","2017","OCT THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","204,510","","","","94,750","","424,860","","15","","9.4","","11.1","","15","","18.9","","7.6","","55.3","","213,990","","8",""
"SURVEY","2017","OCT THRU DEC","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","550","","7,500","","","","990","","13","","8.8","","1.7","","9.5","","10.1","","5.2","","22.3","","500","","7",""
"SURVEY","2017","OCT THRU DEC","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","30,000","","","","6,500","","22","","2.3","","4.1","","1.6","","4.2","","0.1","","61.6","","1,100","","4",""
"SURVEY","2017","OCT THRU DEC","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,500","","25,000","","","","7,500","","30","","26.6","","24.1","","31","","29.2","","0.4","","37.5","","440","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","90,000","","1,200,000","","","","155,000","","13","","7.4","","17.1","","17","","14.1","","6.3","","47.9","","104,000","","9",""
"SURVEY","2017","OCT THRU DEC","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,500","","34,000","","","","7,000","","21","","0.2","","15.5","","20","","0.7","","5.3","","30.2","","4,000","","12",""
"SURVEY","2017","OCT THRU DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","190","","4,000","","","","330","","8","","0","","1.6","","0.6","","2.8","","1.6","","36.4","","110","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","55,000","","240,000","","","","50,000","","21","","7.5","","7.6","","10.4","","16.8","","26.2","","41.4","","36,000","","15",""
"SURVEY","2017","OCT THRU DEC","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,300","","145,000","","","","21,000","","14","","12.3","","3.6","","15.3","","15.1","","4.6","","56.8","","2,200","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","970","","15,000","","","","130","","1","","0.1","","0.1","","0","","66.1","","0","","57.2","","290","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,000","","164,000","","","","9,000","","5","","17.7","","1.7","","14.9","","16.9","","0.2","","34","","5,000","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","13,500","","","","1,800","","13","","0.8","","4.9","","7.9","","10.2","","4.9","","28.9","","460","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","320","","11,500","","","","1,700","","15","","1.7","","3.9","","0.7","","5.6","","8","","23.5","","100","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","45,000","","","","6,500","","14","","12.3","","17.9","","32.6","","25.5","","5.5","","61","","3,400","","8",""
"SURVEY","2017","OCT THRU DEC","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","140","","6,500","","","","830","","13","","3.3","","0.6","","8.6","","7.7","","10.2","","17.9","","40","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","50","","7,500","","","","870","","12","","0.5","","5.6","","6.5","","24.4","","19.1","","54.3","","120","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","390","","60,000","","","","2,700","","5","","0.3","","2.1","","0.6","","26.6","","10.4","","31.5","","1,900","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","220","","6,000","","","","60","","1","","0.4","","0.6","","0","","6.2","","0","","24.9","","110","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20","","10,500","","","","1,300","","12","","0.2","","1.8","","1.1","","3.1","","7.8","","7.9","","410","","4",""
"SURVEY","2017","OCT THRU DEC","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","120","","6,000","","","","1,100","","18","","6.7","","1.5","","2.7","","1.2","","0.3","","13.2","","550","","9",""
"SURVEY","2017","OCT THRU DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","990","","88,000","","","","11,500","","13","","5.3","","1.5","","23.6","","13.6","","2","","53.8","","1,900","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,900","","98,000","","","","7,000","","7","","4.2","","7.2","","39.8","","4","","3.1","","62.9","","450",""," (Z)",""
"SURVEY","2017","OCT THRU DEC","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","280","","22,000","","","","3,400","","15","","1.4","","1.5","","1.5","","6.1","","4.1","","19.3","","830","","4",""
"SURVEY","2017","OCT THRU DEC","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","100","","9,500","","","","820","","9","","1","","4.2","","0.1","","14.2","","1.6","","16.7","","230","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,500","","121,000","","","","13,000","","11","","3.1","","5.3","","5.9","","4.1","","4.1","","54.2","","2,900","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","80","","42,000","","","","7,500","","18","","4.1","","4.3","","2.1","","3.3","","11.5","","26.6","","50",""," (Z)",""
"SURVEY","2017","OCT THRU DEC","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","330","","15,500","","","","1,200","","8","","4.4","","3.3","","4.4","","6.8","","0","","18.9","","270","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,700","","8,000","","","","1,900","","24","","0","","10","","10.3","","0.3","","1","","86.1","","","","0",""
"SURVEY","2017","OCT THRU DEC","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","820","","51,000","","","","3,900","","8","","8","","0.4","","5.4","","12.7","","2.6","","22.3","","460","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","60","","23,000","","","","5,000","","22","","3.9","","11.7","","1.5","","16.3","","6.7","","64.2","","290","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,000","","410,000","","","","26,000","","6","","0.2","","0.9","","0.5","","16.5","","0.3","","41.7","","2,900","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","510","","18,500","","","","2,800","","15","","7.1","","8.4","","6.4","","23.3","","2.9","","45.3","","960","","5",""
"SURVEY","2017","OCT THRU DEC","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","40","","46,000","","","","100",""," (Z)","","0",""," (Z)","","0","","0.5","","0.2","","1","","","","0",""
"SURVEY","2017","OCT THRU DEC","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","70","","94,000","","","","10,000","","11","","28","","3.9","","14.2","","23.3","","1.8","","50.6","","18,500","","20",""
"SURVEY","2017","OCT THRU DEC","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","150","","6,970","","","","360","","5","","3","","1","","2.2","","1.7","","2.4","","11.5","","240","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,500","","24,000","","","","5,500","","23","","1","","2.9","","6.9","","5.4","","2.3","","44.7","","1,100","","5",""
"SURVEY","2017","OCT THRU DEC","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","15,000","","","","2,000","","13","","14.6","","1.9","","0.2","","19.4","","1.9","","31.6","","750","","5",""
"SURVEY","2017","OCT THRU DEC","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","0","","111,000","","","","6,500","","6","","4.1","","7.5","","4.4","","0.1","","2.7","","17.3","","","","0",""
"SURVEY","2017","OCT THRU DEC","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","230","","10,500","","","","1,300","","12","","0.2","","7.5","","2","","18.9","","15.3","","22.8","","320","","3",""
"SURVEY","2017","OCT THRU DEC","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,200","","285,000","","","","20,000","","7","","7.1","","3.8","","2.9","","21.4","","5.2","","33.9","","1,900","","1",""
"SURVEY","2017","OCT THRU DEC","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","480","","29,000","","","","2,000","","7","","11","","9.4","","9.2","","8.9","","19.8","","24.3","","70",""," (Z)",""
"SURVEY","2017","OCT THRU DEC","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10","","6,500","","","","470","","7","","22.1","","5.7","","55.2","","44.5","","1.8","","96.6","","10",""," (Z)",""
"SURVEY","2017","OCT THRU DEC","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","300","","9,500","","","","1,100","","12","","1.3","","6.9","","7.5","","20.6","","3.9","","20.9","","210","","2",""
"SURVEY","2017","OCT THRU DEC","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,900","","72,000","","","","4,000","","6",""," (Z)","","0.4","","0.3","","6","","0.2","","21.7","","14,000","","19",""
"SURVEY","2017","OCT THRU DEC","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","70","","8,500","","","","1,200","","14","","2.4","","7.8","","0.1","","5.3","","3.6","","60.1","","1,600","","19",""
"SURVEY","2017","OCT THRU DEC","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","530","","55,000","","","","8,500","","15","","33.1","","15.3","","22.8","","36.9","","15.2","","53.1","","3,000","","5",""
"SURVEY","2017","OCT THRU DEC","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,500","","29,000","","","","3,500","","12","","8.4","","8.1","","5.9","","2.4","","0.6","","38","","320","","1",""
"SURVEY","2016","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","INVENTORY OF BEE COLONIES","INVENTORY OF BEE COLONIES: (LESS THAN 5 COLONIES)","13,000","","","","","","4,900","","12","","","","","","","","","","","","","","4,000","","10",""
"SURVEY","2016","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","736,920","","","","47,780","","329,820","","12","","9.5","","12.3","","12.4","","16.3","","4.1","","53.4","","561,160","","20",""
"SURVEY","2016","APR THRU JUN","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","8,000","","","","930","","12","","0.3","","4.8","","1.7","","8.2","","5.4","","9.6","","690","","9",""
"SURVEY","2016","APR THRU JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","14,000","","23,000","","","","3,700","","16","","17.2","","17.4","","12","","47.5","","3.5","","26.8","","1,600","","7",""
"SURVEY","2016","APR THRU JUN","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","12,000","","24,000","","","","3,400","","14","","5.5","","3.4","","0.1","","8.5","","1.6","","84.9","","1,600","","7",""
"SURVEY","2016","APR THRU JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","240,000","","1,150,000","","","","108,000","","9","","11.2","","15.3","","14.2","","14.1","","2.6","","49.7","","185,000","","16",""
"SURVEY","2016","APR THRU JUN","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,000","","29,000","","","","1,800","","6","","3.3","","2.6","","1.4","","0.8","","0.3","","38.7","","680","","2",""
"SURVEY","2016","APR THRU JUN","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","390","","2,500","","","","100","","4","","0.5","","4.4","","0.3","","0.6","","1.2","","9.3","","60","","2",""
"SURVEY","2016","APR THRU JUN","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","43,000","","240,000","","","","29,000","","12","","10","","10.1","","11.6","","23.3","","2","","48.2","","21,000","","9",""
"SURVEY","2016","APR THRU JUN","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","17,500","","111,000","","","","11,000","","10","","2","","11.7","","28.4","","28.4","","2.7","","59.3","","3,600","","3",""
"SURVEY","2016","APR THRU JUN","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","870","","13,500","","","","830","","6","","0","","3.2","","0.6","","38.1","","0","","35.6","","0","","0",""
"SURVEY","2016","APR THRU JUN","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","19,000","","80,000","","","","6,000","","8","","2.7","","5.4","","3.1","","4.8","","2.7","","21.2","","5,500","","7",""
"SURVEY","2016","APR THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","9,000","","","","740","","8","","2","","4.7","","3.1","","4.4","","2.1","","11.4","","380","","4",""
"SURVEY","2016","APR THRU JUN","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,700","","7,000","","","","220","","3","","0","","2.8","","2.1","","2.9","","4.3","","12.5","","900","","13",""
"SURVEY","2016","APR THRU JUN","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","26,000","","26,000","","","","2,400","","9","","18.7","","6","","0.6","","17.8","","5.7","","23.5","","760","","3",""
"SURVEY","2016","APR THRU JUN","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","6,000","","","","960","","16","","2.8","","3.7","","8.3","","11.6","","1.8","","47.3","","900","","15",""
"SURVEY","2016","APR THRU JUN","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,100","","6,000","","","","450","","8","","1.7","","16","","28.4","","36.1","","3.8","","38.9","","270","","5",""
"SURVEY","2016","APR THRU JUN","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,000","","53,000","","","","4,300","","8","","0","","1.2","","0.3","","1.1","","0.6","","20.7","","9,500","","18",""
"SURVEY","2016","APR THRU JUN","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","510","","25,000","","","","4,200","","17","","4.3","","2.4","","31.1","","0","","27.9","","82.7","","560","","2",""
"SURVEY","2016","APR THRU JUN","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,800","","9,000","","","","320","","4","","2.4","","3.3","","2.9","","2.3","","0.6","","4.2","","400","","4",""
"SURVEY","2016","APR THRU JUN","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,100","","8,500","","","","300","","4","","0.3","","2.3","","10.6","","10.6","","11.9","","40.5","","440","","5",""
"SURVEY","2016","APR THRU JUN","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","13,500","","103,000","","","","7,500","","7","","1.1","","11.8","","16.5","","9.3","","1.1","","54.1","","3,200","","3",""
"SURVEY","2016","APR THRU JUN","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","24,000","","126,000","","","","13,000","","10","","6.5","","8.6","","18.2","","6","","7.6","","20.8","","4,200","","3",""
